"count","count_norm","parent","tax_rank","tax_color","avg","taxon","tax_name"
"24","216","1472649","species","null","null","1034346","Dielma fastidiosa"
"3","27","67819","class","null","null","1077257","Chthonomonadetes"
"503","4524","1263","species","null","null","1101723","Ruminococcus sp. RLB3"
"17","153","1465756","no_rank","null","null","1118057","Peptoniphilus grossensis ph5"
"98","881","1472764","no_rank","null","null","1118059","Kallipyga massiliensis ph2"
"5","45","185291","species","null","null","1118061","Bacteroidales bacterium ph8"
"2","18","68336","phylum","null","null","1134404","Ignavibacteriae"
"4257","38287","49928","species","null","null","1146296","bacterium NLAE-zl-P430"
"23","207","49928","species","null","null","1146723","bacterium NLAE-zl-P827"
"33","297","49928","species","null","null","1146772","bacterium NLAE-zl-P872"
"266","2392","42214","species","null","null","1151741","Veillonellaceae bacterium canine oral taxon 211"
"36","324","572511","species","null","null","1157314","Blautia sp. YHC-4"
"3","27","186804","genus","null","null","1161127","Murdochiella"
"263","2365","49928","species","null","null","1189972","bacterium NLAE-zl-G423"
"3","27","39779","species","null","null","1200691","Clostridiales bacterium RM3"
"29","261","49928","species","null","null","1201401","bacterium NLAE-zl-H10"
"9","81","49928","species","null","null","1201423","bacterium NLAE-zl-H12"
"2","18","49928","species","null","null","1201768","bacterium NLAE-zl-H436"
"33","297","49928","species","null","null","1201878","bacterium NLAE-zl-H54"
"2","18","1485","species","null","null","1217283","Clostridium sp. 619"
"31","279","49928","species","null","null","1240104","bacterium CCF-01"
"24","216","1392389","species","null","null","1297617","Intestinimonas butyriciproducens"
"24","216","186813","genus","null","null","1392389","Intestinimonas"
"5","45","200630","no_rank","null","null","1411023","unclassified Peptostreptococcaceae (miscellaneous)"
"17","153","162289","species","null","null","1465756","Peptoniphilus grossensis"
"24","216","1297617","no_rank","null","null","1470357","Intestinimonas butyriciproducens AP4"
"24","216","128827","genus","null","null","1472649","Dielma"
"98","881","543310","genus","null","null","1472763","Kallipyga"
"98","881","1472763","species","null","null","1472764","Kallipyga massiliensis"
"12","108","128827","genus","null","null","1505663","Erysipelatoclostridium"
